Year,Total,Coal,Natural Gas,Nuclear,Oil,Renewable
1960,799679,431123,169060,554,51360,147582
1961,840228,451459,180830,1808,52430,153701
1962,904036,481401,196880,2429,52430,170896
1963,971637,528474,216140,3437,55640,167946
1964,1041774,562718,235400,3576,60990,179090
1965,1118115,610827,237540,3913,69550,196285
1966,1212068,655728,268570,5907,84530,197333
1967,1285084,673964,283550,7646,95230,224694
1968,1407600,732786,325280,13405,111280,224849
1969,1527451,755279,356310,14903,147660,253299
1970,1623891,753280,399110,23324,196880,251297
1971,1703380,762910,400180,40552,235400,264338
1972,1851109,824970,402320,57813,293180,272826
1973,1965509,907360,364870,89167,335980,268132
1974,1957335,864682,342469,121251,321996,306937
1975,2011160,890852,320762,183512,309331,306703
1976,2137957,987113,315247,202570,342387,290640
1977,2232454,1029452,326890,265936,383251,226925
1978,2316442,1019352,326768,292987,390614,286721
1979,2359663,1124791,352428,270464,324771,287209
1980,2427320,1242871,370463,266183,263213,284590
1981,2437024,1287427,369981,289034,220870,269712
1982,2376635,1275768,326628,299739,157073,317427
1983,2449040,1347966,293285,311298,154614,341877
1984,2562773,1436492,318212,347292,128195,332582
1985,2621929,1500277,312382,406712,107216,295342
1986,2639724,1482839,265904,438880,146146,305955
1987,2717187,1566246,291704,482586,126788,249863
1988,2858042,1648499,270497,558591,159323,221132
1989,3127886,1692688,371432,561165,175297,327304
1990,3202813,1699648,381669,611589,130649,369241
1991,3254890,1712108,402230,649399,127079,350142
1992,3270597,1741266,426908,655970,106509,324316
1993,3391520,1811116,441000,646987,126859,355578
1994,3451830,1812771,492096,678920,120517,336458
1995,3558374,1832537,528844,713806,87189,384343
1996,3651244,1925010,478765,715212,96741,422867
1997,3672220,1976005,505647,666363,108319,403130
1998,3804504,2006310,558449,714124,147099,365559
1999,3873638,2018813,581933,771811,135722,351308
2000,4025885,2129498,634290,797718,118482,330364
2001,3838831,1982120,659914,792604,129557,260426
2002,4026399,2039665,712432,804519,106138,348137
2003,4054649,2083326,670192,787818,137015,360433
2004,4148080,2090495,731552,813339,139089,357987
2005,4268887,2153956,782829,810726,141290,366205
2006,4275011,2127796,842774,816195,78621,395209
2007,4323914,2118455,915196,836634,78136,361814
2008,4342979,2132596,910176,837804,57776,391021
2009,4165394,1892661,949776,830210,50445,428695
2010,4354355,1994194,1017869,838931,48086,440669
2011,4326625,1875413,1045254,821405,39524,528952
2012,4281694,1640524,1277331,799709,29048,518768
